Timestamp,Elek_P.Infrarotstrahler14L1,Elek_P.SpritzpumpeSZ,Elek_P.PU-KW,Elek_P.VentilatorZZ2,Elek_P.Vakuumpumpe,Elek_P.Infrarotstrahler23L2,Elek_P.Infrarotstrahler23L1,Elek_P.SpritzpumpeRZ,Elek_P.HeizungUTR14,Elek_P.WTWaschtank,Elek_P.Ablasspumpe,Elek_P.Infrarotstrahler14L2,Elek_P.VentilatorZZ1,Elek_P.HeizungRZ15,Elek_P.Allgemeinstrom,Elek_P.HeizungSZ15,Elek_P.Umluftventilator,Elek_P.Hauptanschluss,Elek_P.Induktionstrocknung,Elek_P.Schwadenkondensator,WMZ_VP_P,WMZ_SS_Q,Zustand Versorgungsautomatik,WMZ_SS_T_RL,WMZ_VP_T_VL,WMZ_W_SZ_T_VL,T_U,T_W5,T_RZ,WMZ_G_Q,PU-G_operatingPoint,T_W3,WMZ_IT_T_VL,WMZ_IT_T_RL,WMZ_R_Q,PU-G_Power_hydraulic,T_FW,PU-W_PumpLiquidTemp,WMZ_VP_Q,WMZ_VP_T_RL,Zustand Abwärmenutzung,BvL_f_UL,WMZ_G_P,PU-W_VolumeFlow,PU-G_Power_electric,Zustand Dauerbetrieb,RM_DLRA.Pneu_Q.DL,T_EZ,T_W1,PU-W_ActualSpeed,PU-W_pressure_difference,p_U,T_dry_sp,WMZ_R_T_RL,WMZ_W_RZ_P,f_U,PU-G_ActualSpeed,PU-G_pressure_difference,OX4S_f_UL,WMZ_IT_P,Werkstückzähler,T_dry_zone,WMZ_G_T_VL,BvL_f_TZ_UL,f_EZ,PU-G_VolumeFlow,PU-W_operatingPoint,T_ZZ2,WMZ_R_T_VL,WMZ_W_RZ_T_RL,WMZ_SS_T_VL,n_UL_op,WMZ_IT_Q,PU-W_Power_hydraulic,PU-G_PumpLiquidTemp,f_ZZ2,PU-W_Power_electric,WMZ_W_RZ_T_VL,WMZ_W_SZ_Q,T_dry_kanal,WMZ_R_P,OX4S_T_UL,WMZ_G_T_RL,n_UL_sp,WMZ_W_SZ_P,WMZ_W_SZ_T_RL,n_ZZ2_sp,n_ZZ2_op,T_W4,T_SZ,WMZ_W_RZ_Q,WMZ_SS_P,Betriebszustand IR-Strahler_14,Kühlpumpe_ActualSpeed,Volumenzahler_Druckluft,Mech_v.DAK,Kühlpumpe_Power,Feuchte_Relativ_nachKondens,Druck_Kuehlkreislauf,T_dry_op,Füllventil WT auf,Mech_n.UTR,Temperatur ST,Temperatur WT,Mech_v.UTR,Temp_Kondens_Schwadenaustritt,Kühlpumpe_VolumeFlow,Solltemperatur WT technisch,Wasserzähler,Temp_Kondens_Schwadeneintritt,Temp_Kondens_Verdampferaustritt,Mech_n.L-L,Druck_WP_nachFilter,Induktion Ein,Druckluft_Druck,Temperatur VTR Kammer,Füllventil ST auf,f_UL_Zone,Druck_SP_nachFilter,Absolutdruck VTR Kammer,Solltemperatur UTR Kanal,Druckluft_Volumenstrom,Feuchte_Relativ_vorKondens,Solltemperatur WT elektrisch,rel. Luftfeuchte VTR Kammer,VTR Tor Einlauf Zu,Kühlpumpe_PumpLiquidTemp,Mech_n.ZZ2,Solltemperatur ST technisch,Solltemperatur ST elektrisch,VTR Tor Auslauf Zu,f_UL_Kanal,Sollzeit VTR,Temp_Kondens_Vorlauf_Kaltwasser,Mech_v.VTR,Kühlpumpe_MotorCurrent,Betriebszustand IR-Strahler_23,Temp_Kondens_Ruecklauf,Betriebspunkt UTR Heizung,Mech_n.ZZ1,RM_Kea.985.ThHy_Q.FW,n_UL,T_drying,dataset_number
2025-11-20 09:00:00,0.0,2325.0,240.0,90.0,-7.0,0.0,0.0,2238.0,8067.0,0.0,0.0,0.0,81.0,11370.0,791.0,11637.0,139.0,43435.625,8.0,1766.0,0.0,0.0,1.0,21.0,20.0,20.0,25.48177146911621,34.279998779296875,45.5,3.359999895095825,99.22000122070312,20.26000022888184,24.0,24.0,0.0,2.7713000774383545,21.920000076293945,36.54998779296875,0.0,20.0,False,32.5303840637207,0.0,1.600000023841858,128.0,True,0.0,34.86000061035156,36.54998779296875,4064.0,0.8339999914169312,0.1168018206954002,0.0,20.0,0.0,0.1807480156421661,3801.0,0.7490000128746033,34.6343994140625,0.0,22608.0,34.442138671875,33.0,33.488861083984375,99.9969482421875,3.700000047683716,99.22000122070312,45.119998931884766,20.0,20.0,21.0,869.898681640625,0.6480000615119934,1.3344000577926636,32.0,99.9969482421875,89.0,20.0,0.0,39.900001525878906,0.0,35.0,37.0,0.0,0.0,20.0,870.0,869.8687744140625,34.23999786376953,36.39999771118164,0.0,0.0,False,4694.0,95880.0,2.4999022483825684,238.0,99.8987274169922,3.2929999828338623,39.900001525878906,False,869.898681640625,47.29999923706055,49.400001525878906,2.4999022483825684,26.11038589477539,1.5,15.0,12688.0,34.88136672973633,26.251447677612305,2839.82666015625,2.6689999103546143,False,5.699999809265137,20.65538024902344,False,33.488861083984375,2.5859999656677246,960.0,40.0,0.0,2.220775365829468,50.0,43.43894577026367,False,23.57000732421875,869.8687744140625,15.0,50.0,False,32.54123306274414,30.0,24.299999237060547,0.0,0.6000000238418579,False,24.79022026062012,38.361358642578125,869.8687744140625,,870.0,40.0,1
2025-11-20 09:00:01,0.0,2325.0,240.0,90.0,-7.0,0.0,0.0,2238.0,8067.0,0.0,0.0,0.0,81.0,11370.0,791.0,11637.0,139.0,43435.625,8.0,1766.0,0.0,0.0,1.0,21.0,20.0,20.0,25.45267868041992,34.279998779296875,45.57999801635742,3.359999895095825,99.22000122070312,20.26000022888184,24.0,24.0,0.0,2.7713000774383545,21.920000076293945,36.639984130859375,0.0,20.0,False,32.54123306274414,0.0,1.5,128.0,True,0.0,34.81999969482422,36.639984130859375,4059.0,0.8339999914169312,0.1293243467807769,0.0,20.0,0.0,0.1599832475185394,3802.0,0.7490000128746033,34.66796875,0.0,22608.0,34.41650390625,33.0,33.488861083984375,99.9969482421875,3.700000047683716,99.22000122070312,45.119998931884766,20.0,20.0,21.0,869.898681640625,0.6480000615119934,1.250999927520752,32.0,99.9969482421875,89.0,20.0,0.0,39.79999923706055,0.0,34.97999954223633,37.0,0.0,0.0,20.0,870.0,869.8687744140625,34.23999786376953,36.39999771118164,0.0,0.0,False,4686.0,95880.0,2.4999022483825684,238.0,99.92042541503906,3.289999961853028,39.79999923706055,False,869.898681640625,47.400001525878906,49.5,2.4999022483825684,26.081451416015625,1.5,15.0,12688.0,34.910301208496094,26.20804214477539,2839.82666015625,2.651000022888184,False,5.639999866485596,20.65538024902344,False,33.488861083984375,2.5840001106262207,960.0,40.0,0.0,2.209924697875977,50.0,43.43894577026367,False,23.57000732421875,869.8687744140625,15.0,50.0,False,32.54123306274414,30.0,24.200000762939453,0.0,0.6000000238418579,False,24.79383659362793,38.498836517333984,869.8687744140625,,870.0,40.0,1
2025-11-20 09:00:02,0.0,2327.0,242.0,90.0,-8.0,0.0,0.0,2238.0,8067.0,0.0,0.0,0.0,81.0,11370.0,791.0,11637.0,139.0,43435.625,8.0,1766.0,0.0,0.0,1.0,21.0,20.0,20.0,25.45267868041992,34.279998779296875,45.57999801635742,3.359999895095825,99.22000122070312,20.26000022888184,24.0,24.0,0.0,2.7713000774383545,21.920000076293945,36.639984130859375,0.0,20.0,False,32.54123306274414,0.0,1.5,128.0,True,0.0,34.81999969482422,36.639984130859375,4059.0,0.8339999914169312,0.1293243467807769,0.0,20.0,0.0,0.1599832475185394,3802.0,0.7490000128746033,34.66796875,0.0,22608.0,34.41650390625,33.0,33.488861083984375,99.9969482421875,3.700000047683716,99.22000122070312,45.119998931884766,20.0,20.0,21.0,869.898681640625,0.6480000615119934,1.250999927520752,32.0,99.9969482421875,89.0,20.0,0.0,39.79999923706055,0.0,34.97999954223633,37.0,0.0,0.0,20.0,870.0,869.8687744140625,34.23999786376953,36.39999771118164,0.0,0.0,False,4703.0,95880.0,2.4999022483825684,239.0,99.93128204345705,3.289999961853028,39.79999923706055,False,869.898681640625,47.29999923706055,49.400001525878906,2.4999022483825684,26.04166603088379,1.5,15.0,12688.0,34.910301208496094,26.179107666015625,2839.82666015625,2.6700000762939453,False,5.519999980926514,20.65538024902344,False,33.70949172973633,2.5820000171661377,960.0,40.0,0.0,2.220775365829468,50.0,43.449798583984375,False,23.58001708984375,869.8687744140625,15.0,50.0,False,32.54123306274414,30.0,24.200000762939453,0.0,0.6000000238418579,False,24.79383659362793,38.63631439208984,869.8687744140625,,870.0,40.0,1
2025-11-20 09:00:03,0.0,2327.0,242.0,90.0,-8.0,0.0,0.0,2236.0,10312.0,0.0,0.0,0.0,82.0,11344.0,793.0,11648.0,144.0,35871.1171875,8.0,1766.0,0.0,0.0,1.0,21.0,20.0,20.0,25.44010162353516,34.31999969482422,45.54999923706055,3.359999895095825,99.22000122070312,20.26000022888184,24.0,24.0,0.0,2.7713000774383545,21.920000076293945,36.67999267578125,0.0,20.0,False,32.54123306274414,0.0,1.5,128.0,True,0.0,34.81999969482422,36.639984130859375,4049.0,0.8339999914169312,0.1470573395490646,0.0,20.0,0.0,0.168963223695755,3814.0,0.7490000128746033,34.6588134765625,0.0,22608.0,34.407958984375,33.0,33.62991714477539,99.9969482421875,3.700000047683716,99.22000122070312,45.09999847412109,20.0,20.0,21.0,869.898681640625,0.6480000615119934,1.250999927520752,32.0,99.9969482421875,88.0,20.0,0.0,39.79999923706055,0.0,35.0,37.0,0.0,0.0,20.0,870.0,869.8687744140625,34.25,36.39999771118164,0.0,0.0,False,4704.0,95880.0,2.4999022483825684,239.0,99.8987274169922,3.2980000972747803,40.0,False,869.898681640625,47.400001525878906,49.5,2.4999022483825684,25.99464607238769,1.5,15.0,12688.0,34.870513916015625,26.16102409362793,2839.82666015625,2.6600000858306885,False,5.539999961853027,20.65538024902344,False,33.86863327026367,2.5789999961853027,960.0,40.0,0.0,2.209924697875977,50.0,43.449798583984375,False,23.57000732421875,869.8687744140625,15.0,50.0,False,32.570167541503906,30.0,24.200000762939453,0.0,0.6000000238418579,False,24.79383659362793,44.41144561767578,869.8687744140625,,870.0,40.0,1
2025-11-20 09:00:04,0.0,2327.0,242.0,90.0,-8.0,0.0,0.0,2236.0,10312.0,0.0,0.0,0.0,82.0,11344.0,793.0,11648.0,144.0,35871.1171875,9.0,1721.0,0.0,0.0,1.0,21.0,20.0,20.0,25.467906951904297,34.32999801635742,45.57999801635742,3.359999895095825,99.22000122070312,20.26000022888184,24.0,24.0,0.0,2.7713000774383545,21.920000076293945,36.75997924804688,0.0,20.0,False,32.570167541503906,0.0,1.5,128.0,True,27.0,34.82999801635742,36.75997924804688,4038.0,0.8339999914169312,0.1297067254781723,0.0,20.0,0.0,0.1699629127979278,3811.0,0.7490000128746033,35.25390625,0.0,22608.0,34.43359375,33.0,33.86863327026367,99.9969482421875,3.700000047683716,99.22000122070312,45.09999847412109,20.0,20.0,21.0,869.898681640625,0.6480000615119934,1.250999927520752,32.0,99.9969482421875,88.0,20.0,0.0,39.79999923706055,0.0,35.0,37.0,0.0,0.0,20.0,870.0,869.8687744140625,34.29999923706055,36.39999771118164,0.0,0.0,False,4699.0,95880.0,2.4999022483825684,240.0,99.92042541503906,3.2909998893737797,39.900001525878906,False,869.898681640625,47.29999923706055,49.5,2.4999022483825684,25.9765625,1.5,15.0,12688.0,34.81987762451172,26.14655876159668,2839.82666015625,2.6630001068115234,False,5.539999961853027,20.65538024902344,False,33.86863327026367,2.586999893188477,960.0,40.0,25.0,2.209924697875977,50.0,43.449798583984375,False,23.58001708984375,869.8687744140625,15.0,50.0,False,32.570167541503906,30.0,24.200000762939453,0.0,0.6000000238418579,False,24.8046875,39.04879760742188,869.8687744140625,,870.0,40.0,1
2025-11-20 09:00:05,0.0,2325.0,240.0,93.0,-6.0,0.0,0.0,2238.0,9534.0,0.0,0.0,0.0,82.0,11344.0,793.0,11648.0,144.0,35871.1171875,9.0,1721.0,0.0,0.0,1.0,21.0,20.0,20.0,25.467906951904297,34.32999801635742,45.57999801635742,3.359999895095825,99.22000122070312,20.26000022888184,24.0,24.0,0.0,2.7713000774383545,21.920000076293945,36.75997924804688,0.0,20.0,False,32.570167541503906,0.0,1.5,128.0,True,27.0,34.82999801635742,36.75997924804688,4038.0,0.8339999914169312,0.1297067254781723,0.0,20.0,0.0,0.1699629127979278,3811.0,0.7490000128746033,35.25390625,0.0,22608.0,34.43359375,33.0,33.86863327026367,99.9969482421875,3.700000047683716,99.22000122070312,45.09999847412109,20.0,20.0,21.0,869.898681640625,0.6480000615119934,1.250999927520752,32.0,99.9969482421875,88.0,20.0,0.0,39.79999923706055,0.0,35.0,37.0,0.0,0.0,20.0,870.0,869.8687744140625,34.29999923706055,36.39999771118164,0.0,0.0,False,4695.0,95880.0,2.4999022483825684,240.0,99.92042541503906,3.2920000553131104,40.0,False,869.898681640625,47.400001525878906,49.400001525878906,2.4999022483825684,25.947628021240234,1.5,15.0,12688.0,34.72945785522461,26.132089614868164,2839.82666015625,2.657999992370605,False,5.619999885559082,20.65538024902344,False,34.02054214477539,2.568000078201294,960.0,40.0,0.0,2.220775365829468,50.0,43.43894577026367,False,23.58001708984375,869.8687744140625,15.0,50.0,False,32.570167541503906,30.0,24.299999237060547,0.0,0.6000000238418579,False,24.80830383300781,39.18627166748047,869.8687744140625,,870.0,40.0,1
2025-11-20 09:00:06,0.0,2325.0,240.0,93.0,-6.0,0.0,0.0,2238.0,9534.0,0.0,0.0,0.0,81.0,11361.0,794.0,11677.0,140.0,31848.400390625,10.0,1720.0,0.0,0.0,1.0,21.0,20.0,20.0,25.51279830932617,34.32999801635742,45.54999923706055,3.359999895095825,99.22000122070312,20.279998779296875,24.0,24.0,0.0,2.7713000774383545,21.920000076293945,36.78997802734375,0.0,20.0,False,32.570167541503906,0.0,1.5,128.0,True,0.0,34.81999969482422,36.78997802734375,4041.0,0.8339999914169312,0.1332549601793289,0.0,20.0,0.0,0.1713695973157882,3829.0,0.7490000128746033,35.260009765625,0.0,22608.0,34.442138671875,33.0,33.991607666015625,99.9969482421875,3.700000047683716,99.22000122070312,45.119998931884766,20.0,20.0,21.0,869.898681640625,0.6480000615119934,1.250999927520752,32.009979248046875,99.9969482421875,88.0,20.0,0.0,39.900001525878906,0.0,35.0,37.0,0.0,0.0,20.0,870.0,869.8687744140625,34.30999755859375,36.39999771118164,0.0,0.0,False,4699.0,95880.0,2.4999022483825684,239.0,99.8987274169922,3.2939999103546143,40.0,False,869.898681640625,47.29999923706055,49.5,2.4999022483825684,25.90784072875977,1.5,15.0,12688.0,34.6788215637207,26.11762237548828,2839.82666015625,2.6540000438690186,False,5.659999847412109,20.6351318359375,False,34.28096008300781,2.5810000896453857,960.0,40.0,0.0,2.220775365829468,50.0,43.43894577026367,False,23.58001708984375,869.8687744140625,15.0,50.0,False,32.54123306274414,30.0,24.200000762939453,0.0,0.6000000238418579,False,24.797452926635746,33.68635559082031,869.8687744140625,,870.0,40.0,1
2025-11-20 09:00:07,0.0,2325.0,240.0,93.0,-6.0,0.0,0.0,2238.0,9534.0,0.0,0.0,0.0,81.0,11361.0,794.0,11677.0,140.0,31848.400390625,10.0,1720.0,0.0,0.0,1.0,21.0,20.0,20.0,25.432109832763672,34.32999801635742,45.57999801635742,3.359999895095825,99.22000122070312,20.26000022888184,24.0,24.0,0.0,2.7713000774383545,21.920000076293945,36.829986572265625,0.0,20.0,False,32.54123306274414,0.0,1.399999976158142,128.0,True,0.0,34.86000061035156,36.829986572265625,4041.0,0.8339999914169312,0.1306151747703552,0.0,20.0,0.0,0.1449359804391861,3822.0,0.7490000128746033,35.1531982421875,0.0,22608.0,34.425048828125,33.0,34.270111083984375,99.9969482421875,3.700000047683716,99.22000122070312,45.09999847412109,20.0,20.0,21.0,869.898681640625,0.6470000743865967,1.16759991645813,32.0,99.9969482421875,87.0,20.0,0.0,40.0,0.0,35.029998779296875,37.0,0.0,0.0,20.0,870.0,869.8687744140625,34.30999755859375,36.40999984741211,0.0,0.0,False,4702.0,95880.0,2.4999022483825684,239.0,99.92042541503906,3.2920000553131104,40.20000076293945,False,869.898681640625,47.29999923706055,49.400001525878906,2.4999022483825684,25.860822677612305,1.5,15.0,12688.0,34.69328689575195,26.12847137451172,2839.82666015625,2.6610000133514404,False,5.679999828338623,20.6351318359375,False,34.28096008300781,2.572999954223633,960.0,40.0,0.0,2.209924697875977,50.0,43.43894577026367,False,23.58001708984375,869.8687744140625,15.0,50.0,False,32.54123306274414,30.0,24.200000762939453,0.0,0.6000000238418579,False,24.80830383300781,28.04896354675293,869.8687744140625,,870.0,40.0,1
2025-11-20 09:00:08,0.0,2329.0,238.0,94.0,-7.0,0.0,0.0,2237.0,5458.0,0.0,0.0,0.0,81.0,11361.0,794.0,11677.0,140.0,31848.400390625,10.0,1720.0,0.0,0.0,1.0,21.0,20.0,20.0,25.46246337890625,34.349998474121094,45.59999847412109,3.359999895095825,99.22000122070312,20.26000022888184,24.0,24.0,0.0,2.7713000774383545,21.920000076293945,36.8599853515625,0.0,20.0,False,32.54123306274414,0.0,1.399999976158142,129.0,True,0.0,34.84000015258789,36.8599853515625,4065.0,0.8339999914169312,0.1723677366971969,0.0,20.0,0.0,0.1612041443586349,3812.0,0.7490000128746033,35.1348876953125,0.0,22608.0,34.442138671875,33.0,34.28096008300781,99.9969482421875,3.700000047683716,99.22000122070312,45.09999847412109,20.0,20.0,21.0,869.898681640625,0.6470000743865967,1.16759991645813,32.0,99.9969482421875,87.0,20.0,0.0,40.20000076293945,0.0,35.029998779296875,37.0,0.0,0.0,20.0,870.0,869.8687744140625,34.31999969482422,36.40999984741211,0.0,0.0,False,4704.0,95880.0,2.4999022483825684,239.0,99.92042541503906,3.2929999828338623,40.29999923706055,False,869.898681640625,47.400001525878906,49.5,2.4999022483825684,25.81018447875977,1.5,15.0,12688.0,34.76200866699219,26.175493240356445,2839.82666015625,2.6670000553131104,False,5.679999828338623,20.6351318359375,False,34.11819839477539,2.5799999237060547,960.0,40.0,0.0,2.209924697875977,50.0,43.43894577026367,False,23.58001708984375,869.8687744140625,15.0,50.0,False,32.54123306274414,30.0,24.200000762939453,0.0,0.6000000238418579,False,24.80830383300781,16.636438369750977,869.8687744140625,,870.0,40.0,1
2025-11-20 09:00:09,0.0,2329.0,238.0,94.0,-7.0,0.0,0.0,2237.0,5458.0,0.0,0.0,0.0,81.0,11391.0,789.0,11666.0,140.0,32408.40625,9.0,1768.0,0.0,0.0,1.0,21.0,20.0,20.0,25.44178009033203,34.380001068115234,45.59999847412109,3.359999895095825,99.22000122070312,20.26000022888184,24.0,24.0,0.0,2.7713000774383545,21.90999984741211,36.879974365234375,0.0,20.0,False,32.54123306274414,0.0,1.399999976158142,129.0,True,0.0,34.880001068115234,36.879974365234375,4055.0,0.8339999914169312,0.1647005379199981,0.0,20.0,0.0,0.1596483290195465,3825.0,0.7490000128746033,35.14404296875,0.0,22609.0,34.41650390625,33.0,34.20138931274414,99.9969482421875,3.700000047683716,99.22000122070312,45.119998931884766,20.0,20.0,21.0,869.898681640625,0.6470000743865967,1.16759991645813,32.0,99.9969482421875,88.0,20.0,0.0,40.29999923706055,0.0,35.029998779296875,37.0,0.0,0.0,20.0,870.0,869.8687744140625,34.29999923706055,36.40999984741211,0.0,0.0,False,4710.0,95880.0,2.4999022483825684,239.0,99.90957641601562,3.2960000038146973,40.5,False,869.898681640625,47.29999923706055,49.5,2.4999022483825684,25.784868240356445,1.5,15.0,12688.0,34.80541229248047,26.21166038513184,2839.82666015625,2.6549999713897705,False,5.679999828338623,20.6351318359375,False,33.82884979248047,2.575000047683716,960.0,40.0,0.0,2.220775365829468,50.0,43.43894577026367,False,23.58001708984375,869.8687744140625,15.0,50.0,False,32.32060241699219,30.0,24.200000762939453,0.0,0.6000000238418579,False,24.811922073364254,10.586299896240234,869.8687744140625,,870.0,40.0,1
