Hochtemp2;Time;Celsius(°C);Serial Number
1;01.12.2025 11:15:10;21;68004548
2;01.12.2025 11:15:11;21;
3;01.12.2025 11:15:12;21;
4;01.12.2025 11:15:13;21;
5;01.12.2025 11:15:14;21,1;
6;01.12.2025 11:15:15;21,1;
7;01.12.2025 11:15:16;21,1;
8;01.12.2025 11:15:17;21,2;
9;01.12.2025 11:15:18;21,2;
10;01.12.2025 11:15:19;21,2;
11;01.12.2025 11:15:20;21,2;
12;01.12.2025 11:15:21;21,3;
13;01.12.2025 11:15:22;21,3;
14;01.12.2025 11:15:23;21,3;
15;01.12.2025 11:15:24;21,4;
16;01.12.2025 11:15:25;21,4;
17;01.12.2025 11:15:26;21,4;
18;01.12.2025 11:15:27;21,4;
19;01.12.2025 11:15:28;21,4;
20;01.12.2025 11:15:29;21,4;
21;01.12.2025 11:15:30;21,5;
22;01.12.2025 11:15:31;21,5;
23;01.12.2025 11:15:32;21,5;
24;01.12.2025 11:15:33;21,5;
25;01.12.2025 11:15:34;21,5;
26;01.12.2025 11:15:35;21,6;
27;01.12.2025 11:15:36;21,6;
28;01.12.2025 11:15:37;21,6;
29;01.12.2025 11:15:38;21,6;
30;01.12.2025 11:15:39;21,6;
31;01.12.2025 11:15:40;21,6;
32;01.12.2025 11:15:41;21,7;
33;01.12.2025 11:15:42;21,7;
34;01.12.2025 11:15:43;21,7;
35;01.12.2025 11:15:44;21,7;
36;01.12.2025 11:15:45;21,7;
37;01.12.2025 11:15:46;21,7;
38;01.12.2025 11:15:47;21,7;
39;01.12.2025 11:15:48;21,8;
40;01.12.2025 11:15:49;21,8;
41;01.12.2025 11:15:50;21,8;
42;01.12.2025 11:15:51;21,8;
43;01.12.2025 11:15:52;21,8;
44;01.12.2025 11:15:53;21,8;
45;01.12.2025 11:15:54;21,8;
46;01.12.2025 11:15:55;21,8;
47;01.12.2025 11:15:56;21,8;
48;01.12.2025 11:15:57;21,8;
49;01.12.2025 11:15:58;21,9;
50;01.12.2025 11:15:59;21,9;
51;01.12.2025 11:16:00;21,9;
52;01.12.2025 11:16:01;21,9;
53;01.12.2025 11:16:02;21,9;
54;01.12.2025 11:16:03;21,9;
55;01.12.2025 11:16:04;21,9;
56;01.12.2025 11:16:05;21,9;
